Task,Num_Queries,Num_Gallery,Num_Classes_Query,Num_Classes_Gallery,mAP,MRR,Median_Rank,Mean_Rank,Recall@1,Recall@5,Recall@10,Recall@20
University-1652 Drone $\rightarrow$ Satellite,37855,951,701,951,4.8581803743559595,4.858180337629686,182.0,273.3764628186501,2.0182274468366135,6.0731739532426365,9.359397701756702,14.095892220314358
University-1652 Satellite $\rightarrow$ Drone,701,51355,701,951,1.467949497543698,10.780742741290284,109.0,643.7489300998574,5.706134094151213,15.121255349500714,19.686162624821684,28.10271041369472
University-1652 Street $\rightarrow$ Satellite,2579,951,701,951,0.7939823641242787,0.7939823577657487,451.0,459.23768902675454,0.11632415664986429,0.5816207832493214,1.1244668476153548,2.1326095385808452
SUES-200 UAV $\rightarrow$ Satellite,40000,200,200,200,9.978809803862823,9.97880972405577,42.0,57.814275,3.8850000000000002,12.8275,20.2375,31.9925
SUES-200 UAV-150m $\rightarrow$ Satellite,10000,200,200,200,8.281090155532583,8.281090080867761,48.0,62.7551,2.69,10.42,17.740000000000002,29.39
SUES-200 UAV-300m $\rightarrow$ Satellite,10000,200,200,200,11.156163722607307,11.156163642737342,38.0,55.4423,4.96,14.249999999999998,21.69,33.07
