method,label,split,pool_size,recall@1,recall@5,recall@10,mrr,mean_rank,match_precision,match_coverage,spatial_consistency,queries
full,Full,style_average,12,0.74,1.0,1.0,0.8620833333333333,1.31,0.9982857142857142,0.9496874999999999,0.9987375950939127,200
no_text,w/o Text,style_average,12,0.695,1.0,1.0,0.8354166666666666,1.3800000000000001,0.9972380952380953,0.9434374999999999,0.9981171034865675,200
no_style,w/o Style Penalty,style_average,12,0.5599999999999999,1.0,1.0,0.7604166666666667,1.56,0.9982857142857142,0.9496874999999999,0.9987375950939127,200
no_map,w/o Map,style_average,12,0.73,1.0,1.0,0.8545833333333333,1.3349999999999997,0.9858333333333335,0.8878125000000001,0.9903274921939055,200
no_sinkhorn,w/o Sinkhorn,style_average,12,0.34500000000000003,1.0,1.0,0.6216666666666667,1.9950000000000003,0.999,0.959375,0.9992635971381156,200
no_graph,w/o Graph,style_average,12,0.025,1.0,1.0,0.3241666666666666,3.3649999999999998,0.9496874999999999,1.0,0.9698212260435077,200
