Method,Recall@1,Recall@5,Recall@10,mAP,MRR,Eval_Time_s
Feature cosine,3.2292809496062813,9.878925014332113,14.972921195698959,6.08936265300444,7.641494814057765,0.823545716664133
Domain-centered cosine,2.8183165784653332,9.429264827370764,14.80214635761206,6.593447872232601,7.223158016402068,0.8563289499725215
CSLS rescoring,4.0325308640475575,10.690452470048443,15.996466107997497,6.5714510019821155,8.525153211766122,0.8181187500013039
Reciprocal graph,3.3048125738157856,9.915458332255767,14.972921195698959,6.124717590897081,7.715104849701494,1.1764513333134043
Projection head,4.1110834521293445,12.236888616851816,18.333252258910264,7.526120983113678,9.24433387189196,0.7815128055582236
Style-invariant head,3.6353690169345008,11.106610003828393,17.070865519556737,7.103528396381662,8.479727116247403,0.7793555611214186
Full LGM-GAME-lite,3.6381361194014885,11.106586405766599,17.070865519556737,7.105880254941201,8.48208386705195,1.1772208944570999
